SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,34075 WEBFOOT Loop,Fremont,CA,94555,799888,4,2.5,Ardenwood,1871,4000,1990,2,Garage,,Sold,,,,2013-07-30,819888,2013-08-31,822500.0,http://www.redfin.com/CA/Fremont/34075-Webfoot-Loop-94555/home/1789057,East Bay Regional Data (EBRD),40622122,Legacy Real Estate & Assoc.,N,Y,37.565902,-122.057444,false
Past Sale,Single Family Residential,5442 ALAMO Ter,Fremont,CA,94555,675000,3,2.5,Fremont,1481,3148,1988,2,Garage,,Sold,,,,,675000,2013-07-22,711000.0,http://www.redfin.com/CA/Fremont/5442-Alamo-Ter-94555/home/1149570,MLSListings Inc. (MLSLI),ML81324905,Bay One Real Estate Investment Corporation,N,Y,37.563001,-122.059727,false
Past Sale,Single Family Residential,34289 EUCALYPTUS Ter,Fremont,CA,94555,749888,3,2.5,Ardenwood,1593,3600,1991,2,Garage,,Sold,,,,,749888,2014-03-14,837000.0,http://www.redfin.com/CA/Fremont/34289-Eucalyptus-Ter-94555/home/994755,East Bay Regional Data (EBRD),40645519,NewPath Realty,N,Y,37.559127,-122.057874,false
Past Sale,Single Family Residential,34089 Gannon Ter,Fremont,CA,94555,,3,2.5,94555,1324,,1987,,,,,,,,,,2014-04-04,707000.0,http://www.redfin.com/CA/Fremont/34089-Gannon-Ter-94555/home/1152450,,,,N,Y,37.562532,-122.061151,
Past Sale,Single Family Residential,5430 SUNSTAR Cmn,Fremont,CA,94555,820000,4,2.5,Fremont,1544,3325,1988,2,Garage,,Sold,,,,,820000,2014-04-09,820000.0,http://www.redfin.com/CA/Fremont/5430-Sunstar-Cmn-94555/home/1529575,MLSListings Inc. (MLSLI),ML81410193,Bay One Real Estate Investment Corporation,N,N,37.561127,-122.055971,false
Past Sale,Single Family Residential,34355 EUCALYPTUS Ter,Fremont,CA,94555,888000,4,2.5,Ardenwood,1771,3600,1992,2,Garage,,Sold,,,,,888000,2014-05-22,1000000.0,http://www.redfin.com/CA/Fremont/34355-Eucalyptus-Ter-94555/home/1561059,East Bay Regional Data (EBRD),40653747,BayOne Real Estate Inv Corp,N,Y,37.558393,-122.060945,false
Past Sale,Single Family Residential,4108 Coralline Ct,Fremont,CA,94555,,3,2.0,94555,1298,,1977,,,,,,,,,,2012-06-29,500000.0,http://www.redfin.com/CA/Fremont/4108-Coralline-Ct-94555/home/1406169,,,,N,Y,37.573531,-122.041201,
Past Sale,Single Family Residential,34765 comstock Cmn,Fremont,CA,94555,635000,4,2.5,Ardenwood,1863,2700,1989,2,Garage,,Sold,,,,,635000,2012-05-23,612500.0,http://www.redfin.com/CA/Fremont/34765-Comstock-Cmn-94555/home/584678,East Bay Regional Data (EBRD),40569880,"AEM Real Estate, Inc.",N,Y,37.565168,-122.042693,false
Past Sale,Single Family Residential,34757 COMSTOCK Cmn,Fremont,CA,94555,559888,3,2.5,Ardenwood,1607,2700,1989,2,Garage,,Sold,,,,,559888,2012-05-29,581500.0,http://www.redfin.com/CA/Fremont/34757-Comstock-Cmn-94555/home/1146668,East Bay Regional Data (EBRD),40570516,Legacy Real Estate & Assoc.,N,Y,37.565296,-122.042824,false
Past Sale,Single Family Residential,3724 Sun Ter,Fremont,CA,94555,568000,3,2.5,Northgate,1754,2765,1999,2,Garage,,Sold,,,,,568000,2012-06-29,539000.0,http://www.redfin.com/CA/Fremont/3724-Sun-West-Ter-94555/home/1155458,East Bay Regional Data (EBRD),40571925,Coldwell Banker,N,Y,37.577339,-122.039942,false
